imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0091755,"Pikkupojat",1986,,80,Comedy,7.0,,"",Ere Kokkonen++Spede Pasanen,Hannele Lauri++Spede Pasanen++Vesa-Matti Loiri++Simo Salminen,612,
0091688,"Opposing Force",1986,R,100,Action++Drama++Thriller,5.2,,"The commander of an Air Force camp simulates prisoner-of-war conditions for realistic training goes too far, creating all too real torture situations. He preys on the only woman in the experiment.",Eric Karson,Tom Skerritt++Lisa Eichhorn++Anthony Zerbe++Richard Roundtree,609,
0155068,"Punnagai Mannan",1986,,,,8.0,,"After a failed suicide attempt that ultimately leaves his lover dead, a dancer changes his life.",K. Balachander,Kamal Haasan++Revathy++Rekha Mallick++Srividya,594,
0092238,"Working Girls",1986,Unrated,93,Drama,6.5,,"A day in the life of several prostitutes in an upscale Manhattan whore house. The film is a stark portrayal of the women prostitutes, the male customers and the motivations of both. Watch ... See full summary »",Lizzie Borden,Louise Smith++Ellen McElduff++Amanda Goodwin++Deborah Banks,592,$1.78M
0133351,"Alex Holeh Ahavah",1986,,88,Comedy++Drama++Romance,7.1,,"The movie is a romantic comedy which takes place in Israel during the Austerity period of the 1950s. The movie's hero is Alex, a 13 year old boy who is about to attend his Bar Mitzvah. Alex... See full summary »",Boaz Davidson,Eitan Anshel++Sharon Hacohen++Uri Kabiri++Avi Kushnir,568,
0092709,"Il burbero",1986,,113,Comedy,6.3,,"Tito and Mary meet at the airport, where he gives her his extra ticket not being aware of the fatal situation in which he will fall as a result of his kindness.",Franco Castellano++Giuseppe Moccia,Adriano Celentano++Debra Feuer++Jean Sorel++Mattia Sbragia,567,
0092772,"Comrades",1986,,183,Drama++History,7.6,,"The story of ""The Tolpuddle Martyrs"". A group of 19th century English farm labourers who formed one of the first trade unions and started a campaign to receive fair wages.",Bill Douglas,Keith Allen++Dave Atkins++Stephen Bateman++Katy Behean,563,
0092172,"The Vindicator",1986,R,93,Action++Horror++Sci-Fi,5.0,,"An employee of a secret company operation becomes the victim of the company's special weapons project. He is transformed into a robotic killing machine that, because of his programming must... See full summary »",Jean-Claude Lord,David McIlwraith++Teri Austin++Richard Cox++Pam Grier,562,
0092173,"Violets Are Blue...",1986,PG-13,88,Drama++Romance,5.7,,"Young love may endure in your heart and one day re-ignite, but reality may soon dowse the flames.",Jack Fisk,Sissy Spacek++Kevin Kline++Bonnie Bedelia++John Kellogg,552,$4.74M
0091410,"Scene of the Crime",1986,,90,Crime++Drama++Romance,6.9,,"In the woods, a 13-year-old boy is grabbed by an escaped convict and told to bring money later that day. The boy does as he's told, only to be attacked by the convict's partner. A murder ... See full summary »",André Téchiné,Nicolas Giraudi++Catherine Deneuve++Danielle Darrieux++Wadeck Stanczak,552,$0.16M
0090750,"Blood Hook",1986,R,85,Comedy++Horror,4.1,,"During a local fishing contest, people are being mysteriously dragged into the lake and killed by a giant fish hook. After a sufficient number of deaths, the killer is finally revealed.",Jim Mallon,Mark Jacobs++Lisa Jane Todd++Patrick Danz++Sara Hauser,543,
0093315,"Jocks",1986,R,91,Comedy++Sport,3.4,,"The coach of a college tennis team is given an ultimatum: put together a winning team, or else.",Steve Carver,Scott Strader++Perry Lang++Mariska Hargitay++Richard Roundtree,541,
0095120,"Evil Laugh",1986,R,87,Comedy++Horror,5.1,,"A group of Med students fix up an old house over a weekend. Where a mass murder occurred 10 years earlier. Mayhem ensues.",Dominick Brascia,Ashlyn Gere++Steven Baio++Tony Griffin++Jody Gibson,535,
0091815,"Quiet Cool",1986,R,80,Action,5.7,,"Joe Dylanne is a plainclothes NYC cop with a badge... and a robust personality. He always resorts to unconventional methods in order to capture the city's slickest criminals. When Dylanne ... See full summary »",Clay Borris,James Remar++Daphne Ashbrook++Adam Coleman Howard++Jared Martin,533,$1.90M
0090815,"Charlotte for Ever",1986,,94,Comedy++Drama,5.6,,"Stan, screeplay writer, had his time of glory in Hollywood. Today, alcoholic with a certain envy for suicide, his only link to life is his daughter, Charlotte.",Serge Gainsbourg,Charlotte Gainsbourg++Serge Gainsbourg++Roland Bertin++Roland Dubillard,530,
0091284,"Janbaaz",1986,,175,Action++Drama,6.2,,"Rana Vikram Singh (Amrish Puri) has two sons, Rajesh (Feroz Khan), a police officer and Amar (Anil Kapoor), a fun-loving playboy. Rajesh has gone through a traumatic experience of losing ... See full summary »",Feroz Khan,Feroz Khan++Anil Kapoor++Dimple Kapadia++Amrish Puri,512,
0224102,"Bijo no harawata",1986,,68,Fantasy++Horror++Thriller,5.1,,"A tortured and raped young girl mutates into a penis-headed demon and mutilates her captors.",Kazuo 'Gaira' Komizu,Megumi Ozawa++Ayako Ishii++Seira Kitagawa++Ken Yoshizawa,507,
0091767,"Playing for Keeps",1986,PG-13,102,Comedy,4.1,,"Danny, Spikes and Silk have just recently graduated from high school in New York. Danny finds a title deed for a huge house in a small town. He has a dream to turn it into a Rock n' Roll ... See full summary »",Bob Weinstein++Harvey Weinstein,Daniel Jordano++Matthew Penn++Leon W. Grant++Mary B. Ward,506,$2.67M
