mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"79702","446029","7.5","288,736","13 August 2010 (USA)","2010","112","PG-13","Edgar Wright","USA","English","$60,000,000","$31,494,270"
"79709","38108","6.4","1,144","October 1945 (USA)","(USA)","100","Passed","Frank Borzage","USA","English","Unavailable","Unavailable"
"79711","22454","6.9","1,305","22 May 1931 (USA)","1931","81","Approved","Archie Mayo","USA","English","Unavailable","Unavailable"
"79718","70285","6.6","234","17 November 1972 (Finland)","1972","96","None","Seppo Huunonen","Finland","Finnish","Unavailable","Unavailable"
"79720","1313092","7.3","47,303","3 June 2010 (Australia)","2010","113","R","David Michôd","Australia","English","AUD&nbsp;5,000,000","$1,043,798"
"79723","1294161","6.3","1,574","6 May 2010 (Germany)","2010","79","Unrated","Bradley Rust Gray","USA","English","Unavailable","$24,705"
"79725","1295068","7.2","608","29 August 2008 (USA)","2008","0","NotRated","Kimberly Reed","USA","English","Unavailable","$73,213"
"79731","48602","6.5","257","27 March 1955 (USA)","1955","90","NotRated","Charles Marquis Warren","USA","English","Unavailable","Unavailable"
"79736","419952","6.6","1,236","15 December 2004 (Netherlands)","2004","0","None","Theo van Gogh","Netherlands","Dutch","&euro;2,000,000","Unavailable"
"79739","1424062","6.4","360","2 April 2010 (USA)","2010","86","None","Michel Gondry","France","French","Unavailable","$6,994"
"79741","1125387","7.9","94","19 March 2010 (USA)","2010","0","PG-13","Hilari Scarl","USA","English","Unavailable","Unavailable"
"79760","1419318","8.1","2,711","16 December 2010 (Singapore)","2010","100","R","Pete McCormack","USA","English","$1,800,000","Unavailable"
"79765","115109","5.9","2,083","28 April 1996 (USA)","1996","176","PG-13","Unavailable","USA","English","Unavailable","Unavailable"
"79767","1058743","5","903","20 January 2008 (USA)","2008","120","R","Paul Schneider","USA","English","Unavailable","Unavailable"
"79769","1291465","7.1","12,355","4 June 2010 (India)","2010","163","None","Prakash Jha","India","Hindi","Unavailable","$1,287,416"
"79771","32983","6.7","2,191","16 August 1940 (USA)","1940","92","Approved","Fritz Lang","USA","English","Unavailable","Unavailable"
"79773","199777","6.8","1,838","13 October 1999 (France)","1999","108","None","Aleksandr Sokurov","Russia","German","Unavailable","Unavailable"
"79775","383025","6.8","1,423","8 September 2004 (France)","2004","90","None","Laurent Tirard","France","French","Unavailable","Unavailable"
"79794","115985","5.3","2,285","8 January 1997 (UK)","1997","90","PG-13","Krishna Rao","USA","English","Unavailable","Unavailable"
"79796","1020558","6.4","67,239","30 July 2010 (USA)","2010","97","R","Neil Marshall","UK","English","$12,000,000","$122,288"
"79798","1424797","7.5","20,199","15 July 2009 (France)","2009","96","NotRated","Xavier Dolan","Canada","French","CAD&nbsp;800,000","Unavailable"
"79800","808526","6.4","5,740","16 April 2010 (Italy)","2010","98","R","Todd Solondz","USA","English","Unavailable","$278,821"
"79802","1022606","7.1","2,585","29 May 2008 (Argentina)","2008","113","NotRated","Pablo Trapero","Argentina","Spanish","Unavailable","$13,689"
"79805","73155","7.4","2,334","April 1977 (USA)","(USA)","109","R","Andrzej Zulawski","France","French","Unavailable","Unavailable"
"79807","458455","6.7","7,157","22 October 2009 (Germany)","2009","0","None","Sönke Wortmann","Germany","English","&euro;22,000,000","Unavailable"
"79809","38419","7.6","1,835","29 May 1946 (Sweden)","1946","100","Passed","Ernst Lubitsch","USA","English","Unavailable","Unavailable"
"79824","1020938","7.1","6,171","7 May 2010 (USA)","2010","79","PG","Thomas Balmès","France","English","Unavailable","$7,291,384"
"79828","77315","7.2","2,065","5 April 1978 (France)","1978","94","PG","François Truffaut","France","French","Unavailable","Unavailable"
"79830","115822","7.3","1,554","5 September 1997 (USA)","1997","129","None","Bertrand Tavernier","France","French","$10,000,000","Unavailable"
"79832","28816","7.8","2,215","16 July 1937 (USA)","1937","88","Passed","Mitchell Leisen","USA","English","Unavailable","Unavailable"
"79835","146990","6.6","1,535","28 August 1998 (USA)","1998","97","None","Paul Oremland","UK","English","Unavailable","$94,943"
"79838","71145","8.2","631","April 1977 (USA)","(USA)","131","None","Shyam Benegal","India","Hindi","Unavailable","Unavailable"
"79842","1671630","8.1","191","14 June 2010 (USA)","2010","67","None","Antony Thomas","USA","English","Unavailable","Unavailable"
"79844","38334","7.1","596","27 February 1946 (France)","1946","85","None","René Clément","France","French","Unavailable","Unavailable"
"79846","407821","6.6","1,828","3 September 2004 (South Korea)","2004","0","R","Il-gon Song","South Korea","Korean","Unavailable","Unavailable"
"79848","832318","5.7","1,671","29 May 2009 (USA)","2009","104","R","Jonathan Glatzer","USA","English","Unavailable","Unavailable"
"79850","1548865","7.6","344","January 2010 (USA)","(USA)","81","TV-14","Heidi Ewing","USA","English","Unavailable","Unavailable"
"79855","26007","7","484","31 March 1934 (USA)","1934","84","Passed","Lloyd Bacon","USA","English","$675,000","Unavailable"
"79860","997152","6.4","43,542","12 August 2010 (South Korea)","2010","96","R","Paul Scheuring","USA","English","$21,800,000","Unavailable"
"79863","816436","6","10,121","24 April 2008 (Australia)","2008","90","R","David Nerlich","Australia","English","$700,000","Unavailable"
"79866","1474312","7.6","103","October 2009 (USA)","(USA)","0","None","Marc Levin","USA","English","Unavailable","Unavailable"
"79868","1220214","6","9,065","19 November 2010 (USA)","2010","114","None","Philip Ridley","UK","English","$5,000,000","$2,033"
"79870","1280015","7","703","January 2010 (USA)","(USA)","87","PG-13","Leon Gast","USA","English","Unavailable","$2,367"
"79872","17750","7.4","257","23 December 1927 (USA)","1927","118","None","Frank Urson","USA","English","$264,397","Unavailable"
"79874","18526","7.7","1,793","29 October 1927 (USA)","1927","80","NotRated","Josef von Sternberg","USA","English","Unavailable","Unavailable"
"79879","464154","5.5","74,806","20 August 2010 (USA)","2010","88","R","Alexandre Aja","USA","English","$24,000,000","$25,003,072"
"79882","81160","6.3","145","19 December 1980 (Finland)","1980","110","None","Rauni Mollberg","Finland","Finnish","Unavailable","Unavailable"
"79884","487027","5.9","1,083","27 April 2006 (Germany)","2006","100","None","Ute Wieland","Germany","German","Unavailable","Unavailable"
"79895","1179025","6.3","16,390","14 April 2010 (France)","2010","107","PG","Luc Besson","France","French","&euro;25,000,000","Unavailable"
"79897","1194263","7.1","19,667","27 August 2010 (USA)","2010","103","PG-13","Aaron Schneider","USA","English","$7,500,000","$9,176,553"
"79901","1500496","7.4","505","4 November 2009 (USA)","2009","159","None","Frederick Wiseman","France","French","Unavailable","$531,762"
"79910","1059925","6.3","8,377","11 December 2009 (USA)","2009","92","PG-13","Nancy Bardawil","USA","English","Unavailable","Unavailable"
"79912","1202514","6.7","2,359","24 September 2009 (Hong Kong)","2009","89","None","Pou-Soi Cheang","Hong Kong","Cantonese","Unavailable","Unavailable"
"79914","1145144","6.2","5,110","1 November 2008 (USA)","2008","95","PG-13","Steven Jacobson","USA","English","Unavailable","Unavailable"
"79916","1223975","6.8","2,513","28 August 2008 (Chile)","2008","97","TV-MA","Pablo Larraín","Chile","Spanish","Unavailable","Unavailable"
"79918","58091","7.1","972","16 October 1964 (West Germany)","1964","106","None","Ralph Nelson","USA","English","$2,525,000","Unavailable"
"79920","38370","6.6","1,020","16 October 1946 (USA)","1946","99","Unrated","Stuart Heisler","USA","English","$3,000,000","Unavailable"
"79923","43792","7.5","1,302","12 January 1951 (USA)","1951","101","None","Mitchell Leisen","USA","English","Unavailable","Unavailable"
"79925","41767","7.1","1,099","23 December 1949 (USA)","1949","107","Approved","Henry King","USA","English","$4,500,000","Unavailable"
